,container,date,location,status
28,EMCU5285691,2019-04-02,SAN ANTONIO (CL),Empty container returned under damaged condition
29,EMCU5287349,2019-04-10,SAN ANTONIO (CL),Empty container returned
30,EMCU5288448,2019-04-02,SAN ANTONIO (CL),Empty container returned under damaged condition
31,EMCU5288601,2019-04-02,SAN ANTONIO (CL),Empty container returned under damaged condition
32,EMCU5289911,2019-04-02,SAN ANTONIO (CL),Empty container returned under damaged condition
33,EMCU5292875,2019-04-02,SAN ANTONIO (CL),Empty container returned under damaged condition
34,EMCU5295956,2019-04-12,SAN ANTONIO (CL),Empty container returned
35,EMCU5297408,2019-04-02,SAN ANTONIO (CL),Empty container returned under damaged condition
36,EMCU5297769,2019-04-02,SAN ANTONIO (CL),Empty container returned under damaged condition
37,EMCU5303748,2019-04-02,SAN ANTONIO (CL),Empty container returned under damaged condition
38,EMCU5309176,2019-04-02,SAN ANTONIO (CL),Empty container returned under damaged condition
39,EMCU5311358,2019-04-02,SAN ANTONIO (CL),Empty container returned under damaged condition
40,EMCU5312800,2019-04-10,SAN ANTONIO (CL),Received (FCL)
41,EMCU5313371,2019-04-12,SAN ANTONIO (CL),Empty container returned
42,EMCU5314681,2019-04-12,SAN ANTONIO (CL),Received (FCL)
43,EMCU5314995,2019-04-02,SAN ANTONIO (CL),Empty container returned under damaged condition
44,EMCU5315380,2019-04-02,SAN ANTONIO (CL),Empty container returned under damaged condition
45,EMCU5319195,2019-04-02,SAN ANTONIO (CL),Empty container returned under damaged condition
46,EMCU5319847,2019-04-02,SAN ANTONIO (CL),Empty container returned under damaged condition
47,EMCU5321910,2019-04-02,SAN ANTONIO (CL),Empty container returned under damaged condition
48,EMCU5326574,2019-04-02,SAN ANTONIO (CL),Empty container returned under damaged condition
49,EMCU5328828,2019-04-10,SAN ANTONIO (CL),Empty pick-up by merchant haulage
50,EMCU5338030,2019-04-02,SAN ANTONIO (CL),Empty container returned under damaged condition
51,EMCU5340844,2019-04-10,SAN ANTONIO (CL),Empty pick-up by merchant haulage
52,EMCU5342153,2019-04-02,SAN ANTONIO (CL),Empty container returned under damaged condition
53,EMCU5360711,2019-04-11,SAN ANTONIO (CL),Empty pick-up by merchant haulage
54,EMCU5360959,2019-04-02,SAN ANTONIO (CL),Empty container returned under damaged condition
55,EMCU5362735,2019-04-11,SAN ANTONIO (CL),Received (FCL)
56,EMCU5364255,2019-04-03,SAN ANTONIO (CL),Empty container returned under damaged condition
57,EMCU5372775,2019-04-02,SAN ANTONIO (CL),Empty container returned under damaged condition
58,EMCU5396669,2019-04-12,SAN ANTONIO (CL),Empty container returned
59,EMCU5404297,2019-04-11,SAN ANTONIO (CL),Empty pick-up by merchant haulage
60,EMCU5406319,2019-02-11,KAOHSIUNG (TW),Empty container returned
61,EMCU5410237,2019-04-02,SAN ANTONIO (CL),Empty container returned under damaged condition
62,EISU5695554,2019-02-14,KAOHSIUNG (TW),Empty container returned
63,EISU5698506,2019-04-11,SAN ANTONIO (CL),Empty pick-up by merchant haulage
64,EISU5698975,2019-04-02,SAN ANTONIO (CL),Empty container returned under damaged condition
65,EISU5699293,2019-04-02,SAN ANTONIO (CL),Empty container returned under damaged condition
66,EISU5699544,2019-04-02,SAN ANTONIO (CL),Empty container returned under damaged condition
67,EISU5701467,2019-04-09,SAN ANTONIO (CL),Loaded (FCL) on vessel
68,EISU5704208,2019-02-15,KAOHSIUNG (TW),Empty container returned
69,EISU5704240,2019-04-12,SAN ANTONIO (CL),Received (FCL)
70,EISU5704424,2019-04-02,SAN ANTONIO (CL),Empty container returned under damaged condition
71,EISU5705708,2019-04-02,SAN ANTONIO (CL),Empty container returned under damaged condition
72,EISU5706089,2019-04-12,SAN ANTONIO (CL),Received (FCL)
73,EMCU5238196,2019-04-02,SAN ANTONIO (CL),Empty container returned under damaged condition
74,EMCU5241034,2019-04-02,SAN ANTONIO (CL),Empty container returned under damaged condition
75,EMCU5244537,2019-04-11,SAN ANTONIO (CL),Empty pick-up by merchant haulage
76,EMCU5246036,2019-04-02,SAN ANTONIO (CL),Empty container returned under damaged condition
77,EMCU5246993,2019-04-02,SAN ANTONIO (CL),Empty container returned under damaged condition
78,EMCU5248614,2019-04-02,SAN ANTONIO (CL),Empty container returned under damaged condition
79,EMCU5248656,2019-04-11,SAN ANTONIO (CL),Empty pick-up by merchant haulage
80,EMCU5250376,2019-04-02,SAN ANTONIO (CL),Empty container returned under damaged condition
81,EMCU5251069,2019-04-02,SAN ANTONIO (CL),Empty container returned under damaged condition
82,EMCU5251665,2019-04-09,SAN ANTONIO (CL),Loaded (FCL) on vessel
83,EMCU5253159,2019-04-11,SAN ANTONIO (CL),Empty pick-up by merchant haulage
84,EMCU5254480,2019-04-02,SAN ANTONIO (CL),Empty container returned under damaged condition
85,EMCU5254936,2019-04-02,SAN ANTONIO (CL),Empty container returned under damaged condition
86,EMCU5255151,2019-04-02,SAN ANTONIO (CL),Empty container returned under damaged condition
87,EMCU5255378,2019-04-09,SAN ANTONIO (CL),Empty container returned
88,EMCU5255634,2019-04-12,SAN ANTONIO (CL),Received (FCL)
89,EMCU5259590,2019-04-02,SAN ANTONIO (CL),Empty container returned under damaged condition
90,EMCU5260538,2019-04-02,SAN ANTONIO (CL),Empty container returned under damaged condition
91,EMCU5262124,2019-04-12,SAN ANTONIO (CL),Empty pick-up by merchant haulage
92,EMCU5262546,2019-04-02,SAN ANTONIO (CL),Empty container returned under damaged condition
93,EMCU5262741,2019-04-11,SAN ANTONIO (CL),Empty pick-up by merchant haulage
94,EMCU5262818,2019-04-02,SAN ANTONIO (CL),Empty container returned under damaged condition
95,EMCU5263922,2019-04-02,SAN ANTONIO (CL),Empty container returned under damaged condition
96,EMCU5264209,2019-04-02,SAN ANTONIO (CL),Empty container returned under damaged condition
97,EMCU5266182,2019-04-02,SAN ANTONIO (CL),Empty container returned under damaged condition
98,EMCU5267825,2019-04-02,SAN ANTONIO (CL),Empty container returned under damaged condition
99,EMCU5268246,2019-04-02,SAN ANTONIO (CL),Empty container returned under damaged condition
100,EMCU5268740,2019-04-11,SAN ANTONIO (CL),Empty pick-up by merchant haulage
101,EMCU5268863,2019-04-02,SAN ANTONIO (CL),Empty container returned under damaged condition
102,EMCU5421695,2019-04-11,SAN ANTONIO (CL),Empty pick-up by merchant haulage
103,EMCU5427395,2019-04-09,SAN ANTONIO (CL),Loaded (FCL) on vessel
104,EMCU5427420,2019-04-09,SAN ANTONIO (CL),Loaded (FCL) on vessel
105,EGHU5003495,2019-04-02,SAN ANTONIO (CL),Empty container returned under damaged condition
106,EGHU5004233,2019-04-02,SAN ANTONIO (CL),Empty container returned under damaged condition
107,EGHU5004491,2019-04-02,SAN ANTONIO (CL),Empty container returned under damaged condition
108,EGHU5006278,2019-04-02,SAN ANTONIO (CL),Empty container returned under damaged condition
109,EGHU5006961,2019-02-14,KAOHSIUNG (TW),Empty container returned
110,EGHU5009235,2019-04-12,SAN ANTONIO (CL),Received (FCL)
111,EGHU5010920,2019-04-02,SAN ANTONIO (CL),Empty container returned under damaged condition
112,EGHU5012239,2019-04-02,SAN ANTONIO (CL),Empty container returned under damaged condition
113,EGHU5013235,2019-04-02,SAN ANTONIO (CL),Empty container returned under damaged condition
114,EGSU5002208,2019-04-02,SAN ANTONIO (CL),Empty container returned under damaged condition
115,EGSU5004073,2019-04-02,SAN ANTONIO (CL),Empty container returned under damaged condition
116,EGSU5004793,2019-04-02,SAN ANTONIO (CL),Empty container returned under damaged condition
117,EGSU5005172,2019-04-12,SAN ANTONIO (CL),Empty pick-up by merchant haulage
118,EISU9296022,2019-03-15,MANZANILLO (MX),Empty container returned
119,EISU9410881,2019-03-16,MANZANILLO (MX),Empty container returned
120,EISU9477083,2019-03-15,MANZANILLO (MX),Empty container returned
121,XINU8224409,2019-03-15,MANZANILLO (MX),Empty container returned
122,EMCU9494961,2019-03-15,MANZANILLO (MX),Empty container returned
123,EMCU9593440,2019-03-15,MANZANILLO (MX),Empty container returned
124,EMCU9804964,2019-03-16,MANZANILLO (MX),Empty container returned
125,EMCU9871978,2019-03-15,MANZANILLO (MX),Empty container returned
126,HMCU9101250,2019-03-15,MANZANILLO (MX),Empty container returned
127,MAGU5295589,2019-03-15,MANZANILLO (MX),Empty container returned
128,MAGU5409001,2019-03-15,MANZANILLO (MX),Empty container returned
129,TEMU6115893,2019-03-15,MANZANILLO (MX),Empty container returned
130,TEMU7118515,2019-03-15,MANZANILLO (MX),Empty container returned
131,TEMU7128560,2019-03-15,MANZANILLO (MX),Empty container returned
132,TEMU7269152,2019-03-15,MANZANILLO (MX),Empty container returned
133,TGBU6278648,2019-03-15,MANZANILLO (MX),Empty container returned
134,TGHU6594674,2019-03-15,MANZANILLO (MX),Empty container returned
135,TGHU8852037,2019-03-15,MANZANILLO (MX),Empty container returned
136,TGHU8980336,2019-03-15,MANZANILLO (MX),Empty container returned
137,EISU1853775,2019-03-06,MANZANILLO (MX),Empty container returned
138,EISU1864770,2019-03-12,MANZANILLO (MX),Empty container returned
139,EMCU1333180,2019-03-12,MANZANILLO (MX),Empty container returned
140,IMTU1034594,2019-03-06,MANZANILLO (MX),Empty container returned
141,IMTU1087228,2019-03-12,MANZANILLO (MX),Empty container returned
142,IMTU1100886,2019-03-12,MANZANILLO (MX),Empty container returned
143,LTIU6054868,2019-03-12,MANZANILLO (MX),Empty container returned
144,AMFU8785655,2019-03-15,MANZANILLO (MX),Empty container returned
145,CLHU8988429,2019-03-15,MANZANILLO (MX),Empty container returned
146,CLHU9012719,2019-03-15,MANZANILLO (MX),Empty container returned
147,EGHU9107142,2019-03-15,MANZANILLO (MX),Empty container returned
148,EGHU9177767,2019-03-15,MANZANILLO (MX),Empty container returned
149,EGHU9300378,2019-03-15,MANZANILLO (MX),Empty container returned
150,EGHU9377847,2019-03-15,MANZANILLO (MX),Empty container returned
151,EGSU9137290,2019-03-16,MANZANILLO (MX),Empty container returned
152,EGSU9183613,2019-03-15,MANZANILLO (MX),Empty container returned
153,EISU9182740,2019-02-23,MANZANILLO (MX),Empty container returned
154,EGHU3325110,2019-03-15,MANZANILLO (MX),Empty container returned
155,EMCU6020090,2019-03-06,MANZANILLO (MX),Empty container returned
156,TEMU4131447,2019-02-27,MANZANILLO (MX),Empty container returned
157,EMCU7608751,2019-03-15,MANZANILLO (MX),Empty container returned
158,EISU3938697,2019-04-11,CALLAO (PE),Loaded (FCL) on vessel
159,TGBU6780804,2019-04-11,CALLAO (PE),Loaded (FCL) on vessel
160,EGHU3277563,2019-04-09,CALLAO (PE),Loaded (FCL) on vessel
161,EGHU3275196,2019-04-09,CALLAO (PE),Loaded (FCL) on vessel
162,IMTU9041265,2019-04-08,CALLAO (PE),Empty container returned
163,MAGU5399074,2019-04-13,CALLAO (PE),Empty container returned
164,TEMU4316749,2019-04-03,CALLAO (PE),Loaded (FCL) on vessel
165,EMCU1425687,2019-04-02,CALLAO (PE),Empty container returned
166,EISU2253749,2019-04-10,CALLAO (PE),Empty container returned
167,EGHU3267190,2019-04-11,CALLAO (PE),Empty container returned
168,EGHU3634167,2019-04-10,CALLAO (PE),Empty container returned
169,EGHU3662359,2019-04-11,CALLAO (PE),Empty container returned
170,EGHU3683433,2019-04-12,CALLAO (PE),Empty container returned
171,HMCU1065808,2019-04-08,CALLAO (PE),Empty container returned under damaged condition
172,HMCU3051803,2019-04-09,CALLAO (PE),Empty pick-up by merchant haulage
173,EMCU9819075,2019-04-03,CALLAO (PE),Empty container returned under damaged condition
174,EMCU3935680,2019-04-11,CALLAO (PE),Empty container returned under damaged condition
175,IMTU9088391,2019-04-04,CALLAO (PE),Empty container returned under damaged condition
176,TEMU8424417,2019-04-04,CALLAO (PE),Empty container returned
177,TEMU8803299,2019-04-05,CALLAO (PE),Empty container returned under damaged condition
178,TGHU9032475,2019-04-06,CALLAO (PE),Empty container returned under damaged condition
179,HMCU9128775,2019-04-06,CALLAO (PE),Empty container returned under damaged condition
180,HMCU9143487,2019-04-05,CALLAO (PE),Empty container returned under damaged condition
181,TGHU8965497,2019-04-05,CALLAO (PE),Empty container returned
182,TGBU5823774,2019-04-05,CALLAO (PE),Empty container returned
183,EISU1651202,2019-04-05,CALLAO (PE),Empty container returned
184,TEMU4124807,2019-04-11,CALLAO (PE),Loaded (FCL) on vessel
185,TEMU3649895,2019-04-12,CALLAO (PE),Empty container returned
186,EGSU9155191,2019-04-03,CALLAO (PE),Empty container returned under damaged condition
187,EGHU3162179,2019-04-11,CALLAO (PE),Loaded (FCL) on vessel
188,HMCU3087724,2019-04-09,CALLAO (PE),Empty pick-up by merchant haulage
189,TEMU4845589,2019-04-11,CALLAO (PE),Empty container returned
190,EMCU9764630,2019-03-30,CALLAO (PE),Empty container returned under damaged condition
191,TEMU8893137,2019-03-30,CALLAO (PE),Empty container returned
192,TEMU8931849,2019-04-13,CALLAO (PE),Empty pick-up by merchant haulage
193,EGHU9103147,2019-03-27,CALLAO (PE),Discharged (FCL)
194,EMCU1304638,2019-03-29,CALLAO (PE),Empty container returned
195,EGHU9017521,2019-04-11,CALLAO (PE),Empty container returned under damaged condition
196,EGHU9329068,2019-04-11,CALLAO (PE),Empty container returned under damaged condition
197,EGHU9356675,2019-04-11,CALLAO (PE),Empty container returned
198,EISU9055386,2019-04-11,CALLAO (PE),Empty container returned
199,EISU9156817,2019-04-12,CALLAO (PE),Empty container returned under damaged condition
200,EMCU9806777,2019-04-11,CALLAO (PE),Empty container returned under damaged condition
201,IMTU9096231,2019-04-11,CALLAO (PE),Empty container returned under damaged condition
202,MAGU5421753,2019-04-11,CALLAO (PE),Empty container returned under damaged condition
203,TGHU6827924,2019-04-13,CALLAO (PE),Empty container returned
204,MAGU5398606,2019-04-09,CALLAO (PE),Empty container returned
205,EGHU9022934,2019-04-08,CALLAO (PE),Empty container returned under damaged condition
206,EMCU9767979,2019-04-04,CALLAO (PE),Empty container returned under damaged condition
207,EGSU9035690,2019-04-03,CALLAO (PE),Empty container returned
208,EISU9210306,2019-04-03,CALLAO (PE),Empty container returned under damaged condition
209,EMCU9793710,2019-04-03,CALLAO (PE),Empty container returned under damaged condition
210,TGHU9028475,2019-04-03,CALLAO (PE),Empty container returned under damaged condition
211,TGBU5103033,2019-04-02,CALLAO (PE),Empty container returned
212,EISU9074236,2019-04-03,CALLAO (PE),Empty container returned under damaged condition
213,EMCU9624704,2019-04-04,CALLAO (PE),Empty container returned under damaged condition
214,TGBU6279449,2019-04-12,CALLAO (PE),Empty pick-up by merchant haulage
215,EISU2008593,2019-03-27,CALLAO (PE),Discharged (FCL)
216,EISU2052620,2019-03-27,CALLAO (PE),Discharged (FCL)
217,EISU2138637,2019-03-27,CALLAO (PE),Discharged (FCL)
218,EISU2161220,2019-03-27,CALLAO (PE),Discharged (FCL)
219,EISU2195998,2019-03-27,CALLAO (PE),Discharged (FCL)
220,EISU3934583,2019-03-27,CALLAO (PE),Discharged (FCL)
221,HMCU3012427,2019-03-27,CALLAO (PE),Discharged (FCL)
222,HMCU3053961,2019-03-27,CALLAO (PE),Discharged (FCL)
223,IMTU3002106,2019-03-27,CALLAO (PE),Discharged (FCL)
224,LTIU3033579,2019-03-27,CALLAO (PE),Discharged (FCL)
225,TEMU3451831,2019-03-27,CALLAO (PE),Discharged (FCL)
226,EISU9160967,2019-03-28,CALLAO (PE),Full import container received at inland depot
227,EMCU3865031,2019-04-12,CALLAO (PE),Empty container returned
228,EMCU3635189,2019-03-27,CALLAO (PE),Discharged (FCL)
229,EGHU9315716,2019-03-27,CALLAO (PE),Pick-up by merchant haulage
230,EMCU6096692,2019-04-11,CALLAO (PE),Loaded (FCL) on vessel
231,EGHU9052332,2019-04-05,CALLAO (PE),Despatched by truck
232,EISU9459937,2019-04-03,CALLAO (PE),Empty container returned
233,EISU9468203,2019-04-04,CALLAO (PE),Empty container returned
234,TEMU8403754,2019-04-04,CALLAO (PE),Empty container returned under damaged condition
235,EGHU3189647,2019-03-27,CALLAO (PE),Discharged (FCL)
236,TEMU3603209,2019-03-27,CALLAO (PE),Discharged (FCL)
237,IMTU3074066,2019-03-27,CALLAO (PE),Discharged (FCL)
238,TEMU3328745,2019-03-27,CALLAO (PE),Discharged (FCL)
239,IMTU3037653,2019-03-27,CALLAO (PE),Discharged (FCL)
240,EGHU3277096,2019-03-27,CALLAO (PE),Discharged (FCL)
241,TEMU3852454,2019-03-27,CALLAO (PE),Discharged (FCL)
242,HMCU3044506,2019-03-27,CALLAO (PE),Discharged (FCL)
243,EISU3998438,2019-03-27,CALLAO (PE),Discharged (FCL)
244,TEMU3695102,2019-03-27,CALLAO (PE),Discharged (FCL)
245,TEMU4143978,2019-03-27,CALLAO (PE),Discharged (FCL)
246,EGHU3556418,2019-03-27,CALLAO (PE),Discharged (FCL)
247,EGHU3576610,2019-03-27,CALLAO (PE),Discharged (FCL)
248,TEMU0658738,2019-03-27,CALLAO (PE),Discharged (FCL)
249,EMCU6011611,2019-03-27,CALLAO (PE),Discharged (FCL)
250,EGSU9012689,2019-04-11,CALLAO (PE),Empty container returned under damaged condition
251,EGHU3345884,2019-04-11,CALLAO (PE),Empty pick-up by merchant haulage
252,EGSU1014561,2019-04-12,CALLAO (PE),Empty pick-up by merchant haulage
253,IMTU1003145,2019-04-06,CALLAO (PE),Empty container returned
254,EISU1867402,2019-04-06,CALLAO (PE),Empty container returned
255,TEMU0090036,2019-03-27,CALLAO (PE),Discharged (FCL)
256,EISU2090174,2019-03-27,CALLAO (PE),Discharged (FCL)
257,EISU2180745,2019-03-27,CALLAO (PE),Discharged (FCL)
258,EISU3940040,2019-03-27,CALLAO (PE),Discharged (FCL)
259,EMCU3914028,2019-03-27,CALLAO (PE),Discharged (FCL)
260,EISU3938059,2019-03-27,CALLAO (PE),Discharged (FCL)
261,EGHU3490476,2019-03-27,CALLAO (PE),Discharged (FCL)
262,LTIU3047762,2019-03-27,CALLAO (PE),Discharged (FCL)
263,EGSU3124357,2019-03-27,CALLAO (PE),Discharged (FCL)
264,TEMU0674678,2019-03-27,CALLAO (PE),Discharged (FCL)
265,TEMU5932395,2019-03-27,CALLAO (PE),Discharged (FCL)
266,EGSU3101726,2019-03-27,CALLAO (PE),Discharged (FCL)
267,EISU2217802,2019-03-27,CALLAO (PE),Discharged (FCL)
268,EGHU3180871,2019-03-27,CALLAO (PE),Discharged (FCL)
269,TEMU0799145,2019-03-27,CALLAO (PE),Discharged (FCL)
270,EISU2109475,2019-03-27,CALLAO (PE),Discharged (FCL)
271,EGSU9052470,2019-04-04,CALLAO (PE),Empty container returned
272,EGHU3253915,2019-04-11,CALLAO (PE),Loaded (FCL) on vessel
273,EISU1886151,2019-04-04,CALLAO (PE),Empty container returned under damaged condition
274,EGHU3169445,2019-04-10,CALLAO (PE),Empty pick-up by merchant haulage
275,TEMU6089984,2019-03-27,CALLAO (PE),Discharged (FCL)
276,EISU9454832,2019-04-09,GUAYAQUIL (EC),Discharged (FCL)
277,EGHU9014250,2019-04-09,IQUIQUE (CL),Empty container returned under damaged condition
278,EMCU9741906,2019-04-12,IQUIQUE (CL),Empty container returned under damaged condition
279,TEMU2860516,2019-04-11,IQUIQUE (CL),Empty container returned under damaged condition
280,XINU4062064,2019-04-12,ARICA (CL),Pick-up by merchant haulage
281,EISU2022919,2019-04-05,ARICA (CL),Discharged (FCL)
282,CLHU9008998,2019-04-08,IQUIQUE (CL),Empty container returned under damaged condition
283,TEMU0088851,2019-04-03,SAN ANTONIO (CL),Empty container returned
284,EMCU5272781,2019-04-04,SAN ANTONIO (CL),Empty container returned under damaged condition
285,EISU1838868,2019-04-09,SAN ANTONIO (CL),Empty container returned
286,HMCU1097770,2019-04-06,SAN ANTONIO (CL),Empty container returned
287,EISU9326657,2019-04-06,SAN ANTONIO (CL),Empty container returned
288,EGHU9293073,2019-04-12,SAN ANTONIO (CL),Empty container returned
289,TEMU8950366,2019-04-12,SAN ANTONIO (CL),Empty container returned
290,TGBU6614552,2019-04-10,SANTIAGO (CL),Empty pick-up by merchant haulage
291,EGHU9111944,2019-04-12,SAN ANTONIO (CL),Empty container returned
292,TGBU6007688,2019-04-12,SAN ANTONIO (CL),Empty container returned
293,EGHU9138523,2019-04-11,SAN ANTONIO (CL),Empty pick-up by merchant haulage
294,TGBU6516094,2019-04-04,SAN ANTONIO (CL),Empty container returned
295,EMCU9797485,2019-04-05,SAN ANTONIO (CL),Empty container returned
296,TGHU0332553,2019-04-04,SAN ANTONIO (CL),Empty container returned under damaged condition
297,TEMU8916741,2019-04-05,SAN ANTONIO (CL),Empty container returned
298,EMCU9708810,2019-04-12,SAN ANTONIO (CL),Empty container returned
299,EMCU9740880,2019-04-11,SAN ANTONIO (CL),Empty container returned
300,EGHU3216125,2019-04-05,SAN ANTONIO (CL),Empty container returned under damaged condition
301,EGHU3346303,2019-04-03,SAN ANTONIO (CL),Pick-up by merchant haulage
302,EGHU3352775,2019-04-12,SAN ANTONIO (CL),Empty container returned under damaged condition
303,EGHU3503568,2019-04-11,SAN ANTONIO (CL),Empty container returned under damaged condition
304,EGHU3601435,2019-04-04,SAN ANTONIO (CL),Pick-up by merchant haulage
305,TEMU0535559,2019-04-12,SAN ANTONIO (CL),Empty container returned
306,TGBU6617232,2019-04-05,SANTIAGO (CL),Empty container returned under damaged condition
307,XINU1188188,2019-04-09,SAN ANTONIO (CL),Empty container returned under damaged condition
308,EGHU3241160,2019-04-04,SAN ANTONIO (CL),Empty container returned under damaged condition
309,EGHU3303826,2019-04-12,SAN ANTONIO (CL),Empty container returned
310,EGHU3308068,2019-04-12,SAN ANTONIO (CL),Empty container returned
311,EGHU3590460,2019-04-12,SAN ANTONIO (CL),Empty container returned
312,TEMU6094825,2019-04-05,SAN ANTONIO (CL),Empty container returned
313,EISU9150505,2019-04-12,SAN ANTONIO (CL),Empty container returned
314,TEMU6057457,2019-04-05,SAN ANTONIO (CL),Empty container returned under damaged condition
315,EGSU3085420,2019-04-04,SAN ANTONIO (CL),Empty container returned
316,EGSU9052784,2019-04-10,SAN ANTONIO (CL),Loaded (FCL) on vessel
317,EISU9184296,2019-04-10,SAN ANTONIO (CL),Empty container returned under damaged condition
318,TGBU6777210,2019-04-10,SAN ANTONIO (CL),Empty container returned under damaged condition
319,TGHU9065458,2019-04-04,SAN ANTONIO (CL),Empty container returned under damaged condition
320,TEMU4129558,2019-04-12,SAN ANTONIO (CL),Received (FCL)
321,EISU9243763,2019-04-10,SAN ANTONIO (CL),Empty pick-up by merchant haulage
322,EISU1812755,2019-04-03,SAN ANTONIO (CL),Pick-up by merchant haulage
323,EGHU3324454,2019-04-10,SAN ANTONIO (CL),Empty container returned under damaged condition
324,EMCU6059003,2019-04-06,SAN ANTONIO (CL),Empty container returned
325,TEMU8683260,2019-04-03,SAN ANTONIO (CL),Pick-up by merchant haulage
326,EMCU1412566,2019-04-03,SAN ANTONIO (CL),Pick-up by merchant haulage
327,EGHU3190925,2019-04-11,SAN ANTONIO (CL),Pick-up by merchant haulage
328,TGBU6627288,2019-04-11,SAN ANTONIO (CL),Pick-up by merchant haulage
329,TGBU6898079,2019-04-11,SAN ANTONIO (CL),Pick-up by merchant haulage
330,TGBU6921190,2019-04-11,SAN ANTONIO (CL),Pick-up by merchant haulage
331,TGBU6297416,2019-04-12,SAN ANTONIO (CL),Empty container returned under damaged condition
332,TGBU6888276,2019-04-12,SAN ANTONIO (CL),Empty container returned under damaged condition
333,TEMU8895844,2019-04-11,SAN ANTONIO (CL),Pick-up by merchant haulage
334,TEMU8928418,2019-04-11,SAN ANTONIO (CL),Pick-up by merchant haulage
335,TGBU5940955,2019-04-11,SAN ANTONIO (CL),Pick-up by merchant haulage
336,EISU5694645,2019-04-11,SAN ANTONIO (CL),Empty container returned under damaged condition
337,EMCU5268781,2019-04-11,SAN ANTONIO (CL),Empty container returned under damaged condition
338,EISU5685371,2019-04-11,SAN ANTONIO (CL),Empty container returned under damaged condition
339,EGHU3427046,2019-04-08,IQUIQUE (CL),Empty container returned
340,EGSU3051883,2019-04-08,IQUIQUE (CL),Empty container returned
341,EISU3843945,2019-04-08,IQUIQUE (CL),Empty container returned
342,EGHU9025419,2019-04-08,IQUIQUE (CL),Empty container returned
343,EGSU9183260,2019-04-08,IQUIQUE (CL),Empty container returned under damaged condition
344,EMCU9718721,2019-04-08,IQUIQUE (CL),Empty container returned under damaged condition
345,IMTU9020750,2019-04-08,IQUIQUE (CL),Empty container returned under damaged condition
346,TEMU7124230,2019-04-12,IQUIQUE (CL),Empty pick-up by merchant haulage
347,TEMU7151914,2019-04-08,IQUIQUE (CL),Empty container returned
348,TGBU6520350,2019-04-13,IQUIQUE (CL),Loaded (FCL) on vessel
349,TGBU6896693,2019-04-12,IQUIQUE (CL),Empty pick-up by merchant haulage
350,TGBU6898119,2019-04-12,IQUIQUE (CL),Empty pick-up by merchant haulage
351,TGBU6938783,2019-04-12,IQUIQUE (CL),Empty pick-up by merchant haulage
352,EGHU9369950,2019-04-04,CALLAO (PE),Pick-up by merchant haulage
353,EISU9400029,2019-04-04,CALLAO (PE),Pick-up by merchant haulage
354,TEMU6178850,2019-04-04,CALLAO (PE),Pick-up by merchant haulage
355,TEMU6412438,2019-04-04,CALLAO (PE),Pick-up by merchant haulage
356,TEMU8961571,2019-04-12,CALLAO (PE),Empty container returned
357,EGSU9175644,2019-04-08,CALLAO (PE),Empty container returned
