container,first_date,first_location,first_status,last_date,last_location,last_status
MSKU5144963,2019-03-21 09:35:00,"PUERTO ANGAMOS DEPOT
Mejillones, Chile",Empty,2019-05-11 00:00:00,"Kwangyang Terminal
Gwangyang, Korea, South",Gate out
MRKU6786631,2019-03-21 13:33:00,"PUERTO ANGAMOS DEPOT
Mejillones, Chile",Empty,2019-05-11 00:00:00,"Kwangyang Terminal
Gwangyang, Korea, South",Gate out
MRKU7058477,2019-03-21 08:29:00,"PUERTO ANGAMOS DEPOT
Mejillones, Chile",Empty,2019-05-11 00:00:00,"Kwangyang Terminal
Gwangyang, Korea, South",Gate out
MRKU8281382,2019-03-22 19:43:00,"Puerto Angamos
Mejillones, Chile",Gate in,2019-05-11 00:00:00,"Kwangyang Terminal
Gwangyang, Korea, South",Gate out
MRKU6758732,2019-03-22 09:05:00,"PUERTO ANGAMOS DEPOT
Mejillones, Chile",Empty,2019-05-11 00:00:00,"Kwangyang Terminal
Gwangyang, Korea, South",Gate out
MSKU3989642,2019-03-20 16:14:00,"PUERTO ANGAMOS DEPOT
Mejillones, Chile",Empty,2019-05-11 00:00:00,"Kwangyang Terminal
Gwangyang, Korea, South",Gate out
MRKU8550666,2019-03-21 08:23:00,"PUERTO ANGAMOS DEPOT
Mejillones, Chile",Empty,2019-05-11 00:00:00,"Kwangyang Terminal
Gwangyang, Korea, South",Gate out
MRKU7870958,2019-03-21 19:16:00,"PUERTO ANGAMOS DEPOT
Mejillones, Chile",Empty,2019-05-11 00:00:00,"Kwangyang Terminal
Gwangyang, Korea, South",Gate out
PONU0655600,2019-03-20 17:57:00,"PUERTO ANGAMOS DEPOT
Mejillones, Chile",Empty,2019-05-11 00:00:00,"Kwangyang Terminal
Gwangyang, Korea, South",Gate out
MSKU7551171,2019-03-20 17:58:00,"PUERTO ANGAMOS DEPOT
Mejillones, Chile",Empty,2019-05-10 00:00:00,"Pusan Newport International Term.
Busan, Korea, South",Load
MSKU2849559,2019-03-21 08:47:00,"PUERTO ANGAMOS DEPOT
Mejillones, Chile",Empty,2019-05-11 00:00:00,"Kwangyang Terminal
Gwangyang, Korea, South",Gate out
MAEU6771039,2019-03-21 12:18:00,"PUERTO ANGAMOS DEPOT
Mejillones, Chile",Empty,2019-05-11 00:00:00,"Kwangyang Terminal
Gwangyang, Korea, South",Gate out
MSKU3975551,2019-03-21 12:09:00,"PUERTO ANGAMOS DEPOT
Mejillones, Chile",Empty,2019-05-11 00:00:00,"Kwangyang Terminal
Gwangyang, Korea, South",Gate out
PONU0014083,2019-03-21 13:26:00,"PUERTO ANGAMOS DEPOT
Mejillones, Chile",Empty,2019-05-11 00:00:00,"Kwangyang Terminal
Gwangyang, Korea, South",Gate out
MSKU5000375,2019-03-21 09:21:00,"PUERTO ANGAMOS DEPOT
Mejillones, Chile",Empty,2019-05-11 00:00:00,"Kwangyang Terminal
Gwangyang, Korea, South",Gate out
MSKU7480669,2019-03-22 14:24:00,"PUERTO ANGAMOS DEPOT
Mejillones, Chile",Empty,2019-05-11 00:00:00,"Kwangyang Terminal
Gwangyang, Korea, South",Gate out
MRKU7620835,2019-03-20 16:13:00,"PUERTO ANGAMOS DEPOT
Mejillones, Chile",Empty,2019-05-11 00:00:00,"Kwangyang Terminal
Gwangyang, Korea, South",Gate out
MSKU5504226,2019-03-20 16:09:00,"PUERTO ANGAMOS DEPOT
Mejillones, Chile",Empty,2019-05-11 00:00:00,"Kwangyang Terminal
Gwangyang, Korea, South",Gate out
MNBU3345993,2019-03-21 11:44:00,"Contopsa San Antonio
San Antonio, Chile",Empty,2019-04-28 00:00:00,"St Petersburg, Petrolesport
St Petersburg, Russia",Gate out
MAEU6829824,2019-02-17 23:20:00,"SHEKOU CIMC DEPOT Ltd
Shekou, Guangdong, China",Empty,2019-04-23 00:00:00,"San Antonio Terminal Int. (STI)
San Antonio, Chile",Gate out
MNBU4024679,2019-03-18 16:20:00,"Contopsa San Antonio
San Antonio, Chile",Empty,2019-04-24 00:00:00,"Maersk Yokohama Terminal
Yokohama, Kanagawa, Japan",Gate out
MNBU0339765,2019-03-22 02:39:00,"Contopsa San Antonio
San Antonio, Chile",Empty,2019-04-24 00:00:00,"Maersk Yokohama Terminal
Yokohama, Kanagawa, Japan",Gate out
MNBU3353704,2019-03-18 18:02:00,"Contopsa San Antonio
San Antonio, Chile",Empty,2019-05-04 00:00:00,"Kobe Terminal PC-16/17
Kobe, Hyogo, Japan",Gate out
MNBU9103852,2019-03-18 18:49:00,"Contopsa San Antonio
San Antonio, Chile",Empty,2019-04-24 00:00:00,"Maersk Yokohama Terminal
Yokohama, Kanagawa, Japan",Gate out
MRKU0189346,2019-03-18 17:04:00,"Contopsa Santiago Depot
Santiago, Chile",Empty,2019-04-24 00:00:00,"Maersk Yokohama Terminal
Yokohama, Kanagawa, Japan",Gate out
MSKU6276291,2019-03-19 11:39:00,"Contopsa Santiago Depot
Santiago, Chile",Empty,2019-04-24 00:00:00,"Maersk Yokohama Terminal
Yokohama, Kanagawa, Japan",Gate out
MNBU9084217,2019-03-21 16:24:00,"Contopsa San Antonio
San Antonio, Chile",Empty,2019-05-05 00:00:00,"Hong Kong Modern Terminals Ltd
Hong Kong, Hong Kong",Gate out
MRKU8200375,2019-03-25 13:18:00,"Puerto Angamos
Mejillones, Chile",Gate in,2019-05-15 00:00:00,"VIP Greenport Joint Stock Company
Haiphong, Hai Phong, Vietnam",Gate out
MSKU5169869,2019-03-25 13:19:00,"Puerto Angamos
Mejillones, Chile",Gate in,2019-05-15 00:00:00,"VIP Greenport Joint Stock Company
Haiphong, Hai Phong, Vietnam",Gate out
MSKU5194795,2019-03-25 13:18:00,"Puerto Angamos
Mejillones, Chile",Gate in,2019-05-15 00:00:00,"VIP Greenport Joint Stock Company
Haiphong, Hai Phong, Vietnam",Gate out
MSKU7281939,2019-03-23 11:59:00,"Puerto Angamos
Mejillones, Chile",Gate in,2019-05-15 00:00:00,"VIP Greenport Joint Stock Company
Haiphong, Hai Phong, Vietnam",Gate out
MSKU5576930,2019-03-12 13:20:00,"PUERTO ANGAMOS DEPOT
Mejillones, Chile",Empty,2019-05-15 00:00:00,"VIP Greenport Joint Stock Company
Haiphong, Hai Phong, Vietnam",Gate out
MRKU9170465,2019-03-23 12:59:00,"Puerto Angamos
Mejillones, Chile",Gate in,2019-05-15 00:00:00,"VIP Greenport Joint Stock Company
Haiphong, Hai Phong, Vietnam",Gate out
MRKU8450327,2019-03-23 17:12:00,"Puerto Angamos
Mejillones, Chile",Gate in,2019-05-15 00:00:00,"VIP Greenport Joint Stock Company
Haiphong, Hai Phong, Vietnam",Gate out
PONU0631188,2019-03-23 11:23:00,"Puerto Angamos
Mejillones, Chile",Gate in,2019-05-15 00:00:00,"VIP Greenport Joint Stock Company
Haiphong, Hai Phong, Vietnam",Gate out
MRSU0281100,2019-03-23 16:41:00,"Puerto Angamos
Mejillones, Chile",Gate in,2019-05-15 00:00:00,"VIP Greenport Joint Stock Company
Haiphong, Hai Phong, Vietnam",Gate out
TEMU1257200,2019-03-12 11:12:00,"PUERTO ANGAMOS DEPOT
Mejillones, Chile",Empty,2019-05-15 00:00:00,"VIP Greenport Joint Stock Company
Haiphong, Hai Phong, Vietnam",Gate out
MRKU6596760,2019-03-12 14:37:00,"PUERTO ANGAMOS DEPOT
Mejillones, Chile",Empty,2019-05-15 00:00:00,"VIP Greenport Joint Stock Company
Haiphong, Hai Phong, Vietnam",Gate out
MSKU5001427,2019-03-22 18:45:00,"Puerto Angamos
Mejillones, Chile",Gate in,2019-05-15 00:00:00,"VIP Greenport Joint Stock Company
Haiphong, Hai Phong, Vietnam",Gate out
MSKU3930388,2019-03-23 12:54:00,"Puerto Angamos
Mejillones, Chile",Gate in,2019-05-15 00:00:00,"VIP Greenport Joint Stock Company
Haiphong, Hai Phong, Vietnam",Gate out
MRKU8699140,2019-03-22 20:46:00,"Puerto Angamos
Mejillones, Chile",Gate in,2019-05-15 00:00:00,"VIP Greenport Joint Stock Company
Haiphong, Hai Phong, Vietnam",Gate out
MRKU7498136,2019-03-25 13:21:00,"Puerto Angamos
Mejillones, Chile",Gate in,2019-05-15 00:00:00,"VIP Greenport Joint Stock Company
Haiphong, Hai Phong, Vietnam",Gate out
PONU0403866,2019-03-22 18:51:00,"Puerto Angamos
Mejillones, Chile",Gate in,2019-05-15 00:00:00,"VIP Greenport Joint Stock Company
Haiphong, Hai Phong, Vietnam",Gate out
MRKU7593030,2019-03-25 14:58:00,"Puerto Angamos
Mejillones, Chile",Gate in,2019-05-15 00:00:00,"VIP Greenport Joint Stock Company
Haiphong, Hai Phong, Vietnam",Gate out
MSKU5282664,2019-03-25 13:19:00,"Puerto Angamos
Mejillones, Chile",Gate in,2019-05-15 00:00:00,"VIP Greenport Joint Stock Company
Haiphong, Hai Phong, Vietnam",Gate out
MSKU7467137,2019-03-25 13:19:00,"Puerto Angamos
Mejillones, Chile",Gate in,2019-05-15 00:00:00,"VIP Greenport Joint Stock Company
Haiphong, Hai Phong, Vietnam",Gate out
MSKU5714222,2019-03-22 20:44:00,"Puerto Angamos
Mejillones, Chile",Gate in,2019-05-15 00:00:00,"VIP Greenport Joint Stock Company
Haiphong, Hai Phong, Vietnam",Gate out
MRKU7143239,2019-03-23 17:13:00,"Puerto Angamos
Mejillones, Chile",Gate in,2019-05-15 00:00:00,"VIP Greenport Joint Stock Company
Haiphong, Hai Phong, Vietnam",Gate out
MRKU9040287,2019-03-23 17:13:00,"Puerto Angamos
Mejillones, Chile",Gate in,2019-05-15 00:00:00,"VIP Greenport Joint Stock Company
Haiphong, Hai Phong, Vietnam",Gate out
MRKU6930712,2019-03-22 20:43:00,"Puerto Angamos
Mejillones, Chile",Gate in,2019-05-15 00:00:00,"VIP Greenport Joint Stock Company
Haiphong, Hai Phong, Vietnam",Gate out
MSKU5186547,2019-03-25 18:03:00,"Puerto Angamos
Mejillones, Chile",Gate in,2019-05-15 00:00:00,"VIP Greenport Joint Stock Company
Haiphong, Hai Phong, Vietnam",Gate out
MSKU2006092,2019-03-23 13:03:00,"Puerto Angamos
Mejillones, Chile",Gate in,2019-05-17 00:00:00,"PT New Priok Container Terminal One
Jakarta, Indonesia",Gate out
MSKU5571245,2019-03-22 18:06:00,"Puerto Angamos
Mejillones, Chile",Gate in,2019-05-17 00:00:00,"PT New Priok Container Terminal One
Jakarta, Indonesia",Gate out
MSKU4265343,2019-03-18 13:37:00,"PUERTO ANGAMOS DEPOT
Mejillones, Chile",Empty,2019-05-17 00:00:00,"PT New Priok Container Terminal One
Jakarta, Indonesia",Gate out
MSKU7786577,2019-03-22 18:08:00,"Puerto Angamos
Mejillones, Chile",Gate in,2019-05-17 00:00:00,"PT New Priok Container Terminal One
Jakarta, Indonesia",Gate out
MRKU9467031,2019-03-22 18:42:00,"Puerto Angamos
Mejillones, Chile",Gate in,2019-05-17 00:00:00,"PT New Priok Container Terminal One
Jakarta, Indonesia",Gate out
MSKU2543337,2019-03-22 17:04:00,"Puerto Angamos
Mejillones, Chile",Gate in,2019-05-17 00:00:00,"PT New Priok Container Terminal One
Jakarta, Indonesia",Gate out
MRKU6859580,2019-03-22 21:26:00,"Puerto Angamos
Mejillones, Chile",Gate in,2019-05-17 00:00:00,"PT New Priok Container Terminal One
Jakarta, Indonesia",Gate out
MSKU3767075,2019-03-22 18:39:00,"Puerto Angamos
Mejillones, Chile",Gate in,2019-05-17 00:00:00,"PT New Priok Container Terminal One
Jakarta, Indonesia",Gate out
MSKU2457687,2019-03-18 08:27:00,"PUERTO ANGAMOS DEPOT
Mejillones, Chile",Empty,2019-05-17 00:00:00,"PT New Priok Container Terminal One
Jakarta, Indonesia",Gate out
MNBU0201210,2019-04-08 23:35:00,"Alconsa Callao
Callao, Peru",Empty,2019-05-11 00:00:00,"St Petersburg, Petrolesport
St Petersburg, Russia",Gate out
MRKU0468839,2019-04-04 08:56:00,"Alconsa Callao
Callao, Peru",Empty,2019-05-09 00:00:00,"Metroport Auckland
Auckland, New Zealand",Gate out
MNBU3585680,2019-04-17 19:39:00,"Alconsa Callao
Callao, Peru",Empty,2019-05-10 00:00:00,"Uniport Multipurpose terminals BV
Rotterdam, Zuid-Holland, Netherlands",Gate out
MNBU0276749,2019-04-08 22:42:00,"Alconsa Callao
Callao, Peru",Empty,2019-05-11 00:00:00,"St Petersburg, Petrolesport
St Petersburg, Russia",Gate out
MRSU3072504,2019-04-12 11:35:00,"Miami POMTOC
Miami, Florida, United States",Empty,2019-06-17 00:00:00,"Mundra Int.Cont.Ter. Pvt. Ltd.
Mundra, GUJARAT, India",Gate out
MWCU5269174,2019-04-12 16:29:00,"Alconsa Callao
Callao, Peru",Empty,2019-06-02 00:00:00,"Kaohsiung Hanjin Terminal Pier76-78
Kaohsiung, Taiwan",Gate out
MRKU2799097,2019-04-18 10:30:00,"Miami POMTOC
Miami, Florida, United States",Gate in,2019-05-31 00:00:00,"Kaohsiung Hanjin Terminal Pier76-78
Kaohsiung, Taiwan",Discharge
MRKU5392994,2019-04-18 11:01:00,"Miami POMTOC
Miami, Florida, United States",Gate in,2019-05-31 00:00:00,"Kaohsiung Hanjin Terminal Pier76-78
Kaohsiung, Taiwan",Discharge
MSKU9989887,2019-04-17 14:25:00,"Miami POMTOC
Miami, Florida, United States",Gate in,2019-05-31 00:00:00,"Kaohsiung Hanjin Terminal Pier76-78
Kaohsiung, Taiwan",Discharge
MRSU4037848,2019-04-15 10:30:00,"Miami POMTOC
Miami, Florida, United States",Gate in,2019-05-31 00:00:00,"Kaohsiung Hanjin Terminal Pier76-78
Kaohsiung, Taiwan",Discharge
MSKU0536072,2019-04-16 09:21:00,"Miami POMTOC
Miami, Florida, United States",Gate in,2019-05-31 00:00:00,"Kaohsiung Hanjin Terminal Pier76-78
Kaohsiung, Taiwan",Discharge
PONU7657013,2019-04-15 13:23:00,"Miami POMTOC
Miami, Florida, United States",Gate in,2019-05-31 00:00:00,"Kaohsiung Hanjin Terminal Pier76-78
Kaohsiung, Taiwan",Discharge
TGHU8698322,2019-04-16 09:15:00,"Miami POMTOC
Miami, Florida, United States",Gate in,2019-05-31 00:00:00,"Kaohsiung Hanjin Terminal Pier76-78
Kaohsiung, Taiwan",Discharge
TGHU9012210,2019-04-15 12:40:00,"Miami POMTOC
Miami, Florida, United States",Gate in,2019-05-31 00:00:00,"Kaohsiung Hanjin Terminal Pier76-78
Kaohsiung, Taiwan",Discharge
MSKU9287284,2019-04-12 15:19:00,"QUALITY CONTAINER - EMPTY YARD
Miami, Florida, United States",Empty,2019-06-16 00:00:00,"Kwangyang Terminal
Gwangyang, Korea, South",Gate out
MSKU8849134,2019-04-11 13:14:00,"QUALITY CONTAINER - EMPTY YARD
Miami, Florida, United States",Empty,2019-05-09 00:00:00,"NTB North Sea Terminal Bremerhaven
Bremerhaven, Bremen, Germany",Gate out
MSKU8500081,2019-04-12 16:02:00,"QUALITY CONTAINER - EMPTY YARD
Miami, Florida, United States",Empty,2019-06-10 00:00:00,"Adani Hazira Port Pvt. Ltd
Hazira, GUJARAT, India",Gate out
MSKU1299421,2019-04-17 15:06:00,"Miami POMTOC
Miami, Florida, United States",Empty,2019-05-26 00:00:00,"Northport (Malaysia) Bhd
Port Klang, Selangor, Malaysia",Gate out
MRSU3551847,2019-04-12 07:40:00,"QUALITY CONTAINER - EMPTY YARD
Miami, Florida, United States",Empty,2019-06-14 00:00:00,"Khoms Port
Al Khoms, Libya",Gate out
MSKU9300365,2019-04-17 08:23:00,"Baltimore - Seagirt Terminal C324
Baltimore, Maryland, United States",Empty,2019-06-15 00:00:00,"Jaipur Rail Terminal
Jaipur, RAJASTHAN, India",Gate out
MSKU9153407,2019-04-17 16:22:00,"Baltimore - Seagirt Terminal C324
Baltimore, Maryland, United States",Empty,2019-05-27 00:00:00,"LA SPEZIA LSCT La Spezia Container
La Spezia, La Spezia, Italy",Gate out
MRKU2928759,2019-04-12 08:49:00,"Apm Terminal - Berth 88 E425
Newark, New Jersey, United States",Empty,2019-06-03 00:00:00,"Delhi International Container Trmnl
Sonepat, HARYANA, India",Gate out
MRKU5100177,2019-04-17 13:41:00,"Apm Terminal - Berth 88 E425
Newark, New Jersey, United States",Empty,2019-05-25 00:00:00,"Benghazi Terminal
Benghazi, Libya",Gate out
MIEU3023662,2019-04-18 08:29:00,"Port Newark Container Terminal F577
Newark, New Jersey, United States",Empty,2019-05-05 00:00:00,"MSC Gate Bremerhaven Gmbh & Co. KG
Bremerhaven, Bremen, Germany",Gate out
TGBU6677566,2019-04-18 08:14:00,"Port Newark Container Terminal F577
Newark, New Jersey, United States",Empty,2019-05-12 00:00:00,"MSC Gate Bremerhaven Gmbh & Co. KG
Bremerhaven, Bremen, Germany",Gate out
MRSU0050672,2019-04-15 12:14:00,"Apm Terminal - Berth 88 E425
Newark, New Jersey, United States",Empty,2019-06-01 00:00:00,"Himalayan Terminals Private Limited
Birganj, Nepal",Gate out
